15:28,BCOW,9.68,9.68,9.61,9.8,9.68,478
15:28,FCCY,18.26,18.375,18.36,18.31,18.31,3
15:28,SRCE,45.74,46.62,46.24,46.4,45.87,51447
15:28,VNET,7.32,7.77,7.71,7.72,7.345,398905
15:28,TWOU,64.29,67.41,67.41,67.67,66.88,961408
15:28,QFIN,16.02,16.99,16.99,16.97,16.93,34008
15:28,TPNL,7.05,7.39,7.14,7.16,7.37,126626
15:28,JOBS,87.27,88.115,87.6,87.89,87.475,79931
15:28,JFKKU,10.06,10.06,10.06,10.04,10.06,10000
15:28,EGHT,20.42,20.785,20.46,20.51,20.64,274744
15:28,AAON,44.69,45.61,45.61,45.73,45.07,86868
15:28,ABEO,7.27,7.61,7.55,7.59,7.37,137326
15:28,ABEOW,,,3.55,3.55,3.07,62
15:28,ABIL,1.68,1.72,1.71,1.69,1.7,21415
15:28,ABMD,281.19,284.41,281.53,282.95,283.01,231060
15:28,AXAS,1.37,1.48,1.47,1.45,1.445,928224
15:28,ACIU,4.93,5.05,5.05,5.02,4.89,153619
15:28,ACIA,57.72,58.89,57.87,57.93,58.2,392515
15:28,ACTG,3.16,3.28,3.25,3.29,3.17,40917
15:28,ACHC,29.921,30.61,30.31,30.4,29.97,437794
15:28,ACAD,26.59,27.395,26.99,27.07,26.82,626276
15:28,ACAMU,10.01,10.01,10,10.01,10.01,4300
15:29,YI,6.71,7.35,7.26,7.15,7,9349
15:29,PIH,5.031,5.2,5.2,5.11,5.18,1402
15:29,PIHPP,24.5,24.5,24.5,25,24.5,1000
15:29,TURN,1.88,1.945,1.9,1.91,1.912,23912
15:29,FLWS,18.34,18.74,18.4,18.49,18.595,222954
15:29,BCOW,9.68,9.68,9.61,9.8,9.68,478
15:29,FCCY,18.26,18.375,18.36,18.31,18.31,3
15:29,SRCE,45.74,46.62,46.24,46.4,45.85,51447
15:29,VNET,7.32,7.77,7.71,7.72,7.345,399613
15:29,TWOU,64.29,67.41,67.41,67.67,66.88,968536
15:29,QFIN,16.02,16.99,16.99,16.97,16.93,34008
15:29,TPNL,7.05,7.39,7.14,7.16,7.37,126626
15:29,JOBS,87.27,88.115,87.6,87.89,87.5,80237
15:29,JFKKU,10.06,10.06,10.06,10.04,10.06,10000
15:29,EGHT,20.42,20.785,20.46,20.51,20.64,276105
15:29,AAON,44.69,45.61,45.61,45.73,45.09,86868
15:29,ABEO,7.27,7.61,7.55,7.59,7.34,148642
15:29,ABEOW,,,3.55,3.55,3.07,62
15:29,ABIL,1.68,1.72,1.71,1.69,1.7,21415
15:29,ABMD,281.19,284.41,281.53,282.95,283.01,231060
15:29,AXAS,1.37,1.48,1.47,1.45,1.445,941235
15:29,ACIU,4.93,5.05,5.05,5.02,4.89,153619
15:29,ACIA,57.72,58.89,57.87,57.93,58.2,392515
15:29,ACTG,3.16,3.28,3.25,3.29,3.17,40917
15:29,ACHC,29.921,30.61,30.31,30.4,29.99,439495
15:29,ACAD,26.59,27.395,26.99,27.07,26.83,626915
15:29,ACAMU,10.01,10.01,10,10.01,10.01,4300
15:29,ACST,0.92,0.96,0.96,0.971,0.922,119707
15:29,AXDX,17.831,18.875,18.63,18.6,17.985,122244
15:29,XLRN,44.3,45.775,45.46,45.67,44.345,247174
15:29,ARAY,4.46,4.59,4.59,4.59,4.52,214515
15:29,ACRX,3.35,3.43,3.41,3.42,3.38,1271412
15:29,ACER,23.61,24.29,23.85,23.92,24.2,23336
15:29,ACET,0.133,0.165,0.159,0.1345,0.1345,6809167
15:29,AKAO,0.48,0.535,0.48,0.52,0.5296,1179251
15:29,ACHV,3.7,3.85,3.77,3.77,3.76,117791
15:29,ACHN,3.135,3.26,3.2,3.21,3.135,676200
15:29,ACIW,33.93,34.31,33.93,34.14,34.04,171992
15:29,ACRS,6.497,6.67,6.67,6.67,6.52,186041
15:29,ACMR,15.1,15.72,15.46,15.54,15.14,28703
15:29,ACNB,37.56,38.23,37.95,37.7,37.56,9067
15:29,ACOR,12.48,12.88,12.73,12.79,12.61,289622
15:29,ATVI,46.854,47.65,47.19,47.57,46.93,2986791
15:29,ADMS,6.64,6.96,6.79,6.81,6.67,311633
15:29,ADMP,1.98,2.02,2.02,2,2,198020
15:29,ADAP,4.68,4.99,4.99,4.97,4.69,141111
15:29,ADUS,64.41,66.96,65.38,65.51,65.5,49535
15:29,AEY,1.37,1.37,1.37,1.37,1.37,105
15:29,IOTS,6.17,6.38,6.29,6.31,6.17,39382
15:29,ADIL,2.91,3.023,2.99,2.98,2.96,34483
15:29,ADILW,0.4,0.4,0.4,0.4,0.4,3000
15:29,ADMA,5,5.19,5.1,5.14,5.04,381097
15:29,ADBE,266.8,269.99,267.12,268.81,268.74,1149874
15:29,ADOM,0.3601,0.4,0.4,0.335,0.374,508475
15:29,ADTN,14.1,14.64,14.15,14.19,14.28,401408
15:29,ADRO,3.95,4.1,4.07,4.08,3.935,94468
15:30,YI,6.71,7.35,7.26,7.15,7,9349
15:30,PIH,5.031,5.2,5.2,5.11,5.18,1402
15:30,PIHPP,24.5,24.5,24.5,25,24.5,1000
